Week,Adidas Yeezy: (United States)
6/7/15,3
6/14/15,7
6/21/15,30
6/28/15,17
7/5/15,10
7/12/15,7
7/19/15,7
7/26/15,7
8/2/15,7
8/9/15,10
8/16/15,31
8/23/15,22
8/30/15,17
9/6/15,11
9/13/15,18
9/20/15,11
9/27/15,10
10/4/15,11
10/11/15,9
10/18/15,10
10/25/15,14
11/1/15,20
11/8/15,34
11/15/15,20
11/22/15,17
11/29/15,18
12/6/15,19
12/13/15,42
12/20/15,38
12/27/15,55
1/3/16,47
1/10/16,45
1/17/16,34
1/24/16,38
1/31/16,36
2/7/16,64
2/14/16,100
2/21/16,50
2/28/16,34
3/6/16,36
3/13/16,29
3/20/16,29
3/27/16,30
4/3/16,30
4/10/16,27
4/17/16,28
4/24/16,25
5/1/16,24
5/8/16,26
5/15/16,27
5/22/16,24
5/29/16,24
6/5/16,39
6/12/16,25
6/19/16,22
6/26/16,22
7/3/16,20
7/10/16,20
7/17/16,21
7/24/16,20
7/31/16,21
8/7/16,20
8/14/16,19
8/21/16,26
8/28/16,25
9/4/16,41
9/11/16,37
9/18/16,59
9/25/16,35
10/2/16,29
10/9/16,37
10/16/16,30
10/23/16,26
10/30/16,23
11/6/16,21
11/13/16,29
11/20/16,51
11/27/16,32
12/4/16,28
12/11/16,42
12/18/16,31
12/25/16,32
1/1/17,27
1/8/17,25
1/15/17,24
1/22/17,23
1/29/17,28
2/5/17,42
2/12/17,37
2/19/17,44
2/26/17,30
3/5/17,24
3/12/17,24
3/19/17,22
3/26/17,24
4/2/17,20
4/9/17,20
4/16/17,22
4/23/17,42
4/30/17,31
5/7/17,25
5/14/17,21
5/21/17,21
5/28/17,24
6/4/17,27
6/11/17,24
6/18/17,43
6/25/17,27
7/2/17,23
7/9/17,22
7/16/17,22
7/23/17,21
7/30/17,21
8/6/17,25
8/13/17,27
8/20/17,21
8/27/17,21
9/3/17,20
9/10/17,19
9/17/17,20
9/24/17,19
10/1/17,20
10/8/17,20
10/15/17,20
10/22/17,20
10/29/17,19
11/5/17,21
11/12/17,41
11/19/17,61
11/26/17,45
12/3/17,37
12/10/17,57
12/17/17,37
12/24/17,34
12/31/17,24
1/7/18,23
1/14/18,21
1/21/18,21
1/28/18,24
2/4/18,19
2/11/18,20
2/18/18,18
2/25/18,19
3/4/18,29
3/11/18,23
3/18/18,19
3/25/18,17
4/1/18,16
4/8/18,23
4/15/18,21
4/22/18,25
4/29/18,20
5/6/18,17
5/13/18,15
5/20/18,14
5/27/18,16
6/3/18,18
6/10/18,19
6/17/18,18
6/24/18,31
7/1/18,29
7/8/18,24
7/15/18,18
7/22/18,17
7/29/18,17
8/5/18,19
8/12/18,19
8/19/18,19
8/26/18,16
9/2/18,19
9/9/18,24
9/16/18,49
9/23/18,32
9/30/18,27
10/7/18,22
10/14/18,20
10/21/18,24
10/28/18,26
11/4/18,24
11/11/18,38
11/18/18,44
11/25/18,39
12/2/18,30
12/9/18,37
12/16/18,34
12/23/18,63
12/30/18,29
1/6/19,25
1/13/19,21
1/20/19,19
1/27/19,18
2/3/19,17
2/10/19,17
2/17/19,20
2/24/19,20
3/3/19,26
3/10/19,26
3/17/19,26
3/24/19,38
3/31/19,26