Week,Kanye West: (United States)
6/7/15,8
6/14/15,7
6/21/15,7
6/28/15,10
7/5/15,8
7/12/15,6
7/19/15,7
7/26/15,7
8/2/15,6
8/9/15,6
8/16/15,6
8/23/15,6
8/30/15,39
9/6/15,10
9/13/15,11
9/20/15,8
9/27/15,8
10/4/15,8
10/11/15,8
10/18/15,8
10/25/15,6
11/1/15,6
11/8/15,6
11/15/15,6
11/22/15,6
11/29/15,6
12/6/15,11
12/13/15,7
12/20/15,8
12/27/15,11
1/3/16,16
1/10/16,13
1/17/16,12
1/24/16,32
1/31/16,15
2/7/16,44
2/14/16,100
2/21/16,35
2/28/16,21
3/6/16,15
3/13/16,12
3/20/16,10
3/27/16,12
4/3/16,12
4/10/16,12
4/17/16,12
4/24/16,10
5/1/16,10
5/8/16,9
5/15/16,12
5/22/16,11
5/29/16,10
6/5/16,13
6/12/16,14
6/19/16,20
6/26/16,36
7/3/16,10
7/10/16,8
7/17/16,20
7/24/16,11
7/31/16,9
8/7/16,8
8/14/16,9
8/21/16,10
8/28/16,25
9/4/16,15
9/11/16,13
9/18/16,12
9/25/16,13
10/2/16,17
10/9/16,10
10/16/16,13
10/23/16,13
10/30/16,10
11/6/16,10
11/13/16,11
11/20/16,61
11/27/16,20
12/4/16,15
12/11/16,19
12/18/16,10
12/25/16,9
1/1/17,8
1/8/17,7
1/15/17,6
1/22/17,6
1/29/17,6
2/5/17,5
2/12/17,7
2/19/17,6
2/26/17,6
3/5/17,5
3/12/17,6
3/19/17,6
3/26/17,6
4/2/17,5
4/9/17,5
4/16/17,6
4/23/17,5
4/30/17,5
5/7/17,5
5/14/17,5
5/21/17,5
5/28/17,5
6/4/17,6
6/11/17,5
6/18/17,5
6/25/17,6
7/2/17,7
7/9/17,5
7/16/17,4
7/23/17,4
7/30/17,4
8/6/17,4
8/13/17,4
8/20/17,5
8/27/17,6
9/3/17,5
9/10/17,4
9/17/17,6
9/24/17,7
10/1/17,4
10/8/17,5
10/15/17,6
10/22/17,6
10/29/17,6
11/5/17,6
11/12/17,6
11/19/17,6
11/26/17,5
12/3/17,5
12/10/17,4
12/17/17,5
12/24/17,5
12/31/17,5
1/7/18,5
1/14/18,10
1/21/18,6
1/28/18,6
2/4/18,6
2/11/18,5
2/18/18,5
2/25/18,5
3/4/18,4
3/11/18,5
3/18/18,5
3/25/18,5
4/1/18,5
4/8/18,5
4/15/18,8
4/22/18,41
4/29/18,54
5/6/18,17
5/13/18,8
5/20/18,8
5/27/18,27
6/3/18,22
6/10/18,13
6/17/18,9
6/24/18,7
7/1/18,7
7/8/18,6
7/15/18,5
7/22/18,5
7/29/18,6
8/5/18,8
8/12/18,8
8/19/18,6
8/26/18,6
9/2/18,8
9/9/18,11
9/16/18,11
9/23/18,10
9/30/18,30
10/7/18,32
10/14/18,19
10/21/18,8
10/28/18,11
11/4/18,6
11/11/18,6
11/18/18,5
11/25/18,5
12/2/18,5
12/9/18,12
12/16/18,8
12/23/18,6
12/30/18,7
1/6/19,5
1/13/19,5
1/20/19,5
1/27/19,4
2/3/19,4
2/10/19,5
2/17/19,5
2/24/19,5
3/3/19,4
3/10/19,4
3/17/19,4
3/24/19,4
3/31/19,5