Week,Off-White: (United States)
6/7/15,5
6/14/15,6
6/21/15,5
6/28/15,6
7/5/15,7
7/12/15,7
7/19/15,5
7/26/15,6
8/2/15,6
8/9/15,6
8/16/15,5
8/23/15,7
8/30/15,7
9/6/15,7
9/13/15,6
9/20/15,8
9/27/15,7
10/4/15,7
10/11/15,8
10/18/15,7
10/25/15,6
11/1/15,7
11/8/15,7
11/15/15,8
11/22/15,10
11/29/15,9
12/6/15,7
12/13/15,8
12/20/15,9
12/27/15,8
1/3/16,9
1/10/16,8
1/17/16,9
1/24/16,9
1/31/16,9
2/7/16,8
2/14/16,11
2/21/16,10
2/28/16,9
3/6/16,10
3/13/16,9
3/20/16,9
3/27/16,9
4/3/16,11
4/10/16,10
4/17/16,10
4/24/16,11
5/1/16,10
5/8/16,10
5/15/16,8
5/22/16,10
5/29/16,9
6/5/16,9
6/12/16,10
6/19/16,8
6/26/16,10
7/3/16,9
7/10/16,10
7/17/16,12
7/24/16,10
7/31/16,12
8/7/16,13
8/14/16,10
8/21/16,12
8/28/16,11
9/4/16,14
9/11/16,15
9/18/16,14
9/25/16,16
10/2/16,17
10/9/16,14
10/16/16,15
10/23/16,17
10/30/16,14
11/6/16,15
11/13/16,16
11/20/16,19
11/27/16,17
12/4/16,18
12/11/16,17
12/18/16,18
12/25/16,16
1/1/17,16
1/8/17,16
1/15/17,18
1/22/17,19
1/29/17,17
2/5/17,18
2/12/17,17
2/19/17,19
2/26/17,18
3/5/17,20
3/12/17,20
3/19/17,19
3/26/17,19
4/2/17,21
4/9/17,20
4/16/17,20
4/23/17,21
4/30/17,22
5/7/17,20
5/14/17,21
5/21/17,21
5/28/17,20
6/4/17,20
6/11/17,19
6/18/17,18
6/25/17,20
7/2/17,21
7/9/17,21
7/16/17,21
7/23/17,25
7/30/17,34
8/6/17,32
8/13/17,32
8/20/17,42
8/27/17,46
9/3/17,54
9/10/17,45
9/17/17,45
9/24/17,53
10/1/17,45
10/8/17,48
10/15/17,49
10/22/17,54
10/29/17,52
11/5/17,68
11/12/17,58
11/19/17,100
11/26/17,65
12/3/17,58
12/10/17,57
12/17/17,59
12/24/17,67
12/31/17,56
1/7/18,67
1/14/18,63
1/21/18,56
1/28/18,58
2/4/18,50
2/11/18,51
2/18/18,56
2/25/18,65
3/4/18,57
3/11/18,50
3/18/18,51
3/25/18,79
4/1/18,56
4/8/18,63
4/15/18,56
4/22/18,56
4/29/18,64
5/6/18,81
5/13/18,55
5/20/18,60
5/27/18,62
6/3/18,63
6/10/18,79
6/17/18,64
6/24/18,60
7/1/18,54
7/8/18,57
7/15/18,60
7/22/18,70
7/29/18,68
8/5/18,62
8/12/18,59
8/19/18,58
8/26/18,62
9/2/18,58
9/9/18,56
9/16/18,59
9/23/18,74
9/30/18,87
10/7/18,89
10/14/18,71
10/21/18,69
10/28/18,69
11/4/18,63
11/11/18,70
11/18/18,89
11/25/18,80
12/2/18,69
12/9/18,75
12/16/18,81
12/23/18,85
12/30/18,69
1/6/19,77
1/13/19,75
1/20/19,67
1/27/19,67
2/3/19,85
2/10/19,69
2/17/19,67
2/24/19,65
3/3/19,65
3/10/19,62
3/17/19,67
3/24/19,68
3/31/19,63